Word,Lemmatized Noun,Lemmatized Adjective,Tag
thimble,thimble,thimble,a
sized,sized,sized,a
figure,figure,figure,n
first,first,first,a
visit,visit,visit,n
dunya,dunya,dunya,n
niqab,niqab,niqab,a
selim,selim,selim,n
mother,mother,mother,n
house,house,house,n
emma,emma,emma,n
dunya,dunya,dunya,n
summer,summer,summer,n
germany,germany,germany,a
message,message,message,n
free,free,free,a
women,woman,women,n
particular,particular,particular,a
women,woman,women,n
ummah,ummah,ummah,a
general,general,general,a
holy,holy,holy,n
sat,sat,sat,a
floor,floor,floor,n
gravity,gravity,gravity,n
ground,ground,ground,n
dunya,dunya,dunya,a
bashar,bashar,bashar,n
al,al,al,n
assad,assad,assad,a
regime,regime,regime,n
muslims,muslim,muslims,n
help,help,help,n
criticism,criticism,criticism,n
civil,civil,civil,a
rights,right,rights,n
concern,concern,concern,n
historical,historical,historical,a
struggle,struggle,struggle,n
african,african,african,a
americans,american,americans,n
defend,defend,defend,a
communities,community,communities,n
foreign,foreign,foreign,a
policy,policy,policy,n
middle,middle,middle,n
east,east,east,a
war,war,war,n
terror,terror,terror,n
fbi,fbi,fbi,n
heavy,heavy,heavy,n
tactics,tactic,tactics,n
framework,framework,framework,a
legal,legal,legal,a
rights,right,rights,n
ethic,ethic,ethic,a
nonviolence,nonviolence,nonviolence,n
ethic,ethic,ethic,a
states,state,states,n
groups,group,groups,n
fact,fact,fact,n
death,death,death,n
homicide,homicide,homicide,n
civilians,civilian,civilians,n
iraq,iraq,iraq,a
fact,fact,fact,n
deaths,death,deaths,n
thousands,thousand,thousands,n
palestinians,palestinian,palestinians,n
civilian,civilian,civilian,a
new,new,new,a
york,york,york,n
city,city,city,n
deaths,death,deaths,n
civilians,civilian,civilians,n
new,new,new,a
york,york,york,n
washington,washington,washington,n
death,death,death,n
civilian,civilian,civilian,a
afghanistan,afghanistan,afghanistan,n
terrorism,terrorism,terrorism,n
experts,expert,experts,n
views,view,views,n
deliberate,deliberate,deliberate,a
state,state,state,n
military,military,military,a
violence,violence,violence,n
civilians,civilian,civilians,n
attacks,attack,attacks,n
evidence,evidence,evidence,n
awlaki,awlaki,awlaki,n
outset,outset,outset,a
course,course,course,n
surveillance,surveillance,surveillance,n
evidence,evidence,evidence,n
meetings,meeting,meetings,n
prostitutes,prostitute,prostitutes,n
reputation,reputation,reputation,n
life,life,life,n
imam,imam,imam,a
march,march,march,n
series,series,series,n
indiscriminate,indiscriminate,indiscriminate,a
aggressive,aggressive,aggressive,a
fbi,fbi,fbi,n
raids,raid,raids,n
homes,home,homes,n
muslims,muslim,muslims,n
northern,northern,northern,a
virginia,virginia,virginia,n
awlaki,awlaki,awlaki,n
angry,angry,angry,a
blunt,blunt,blunt,n
sermon,sermon,sermon,n
american,american,american,a
muslims,muslim,muslims,n
second,second,second,a
class,class,class,n
citizens,citizen,citizens,n
law,law,law,n
war,war,war,n
terrorism,terrorism,terrorism,n
war,war,war,n
muslims,muslim,muslims,n
war,war,war,n
muslims,muslim,muslims,n
war,war,war,n
sake,sake,sake,n
freedom,freedom,freedom,n
freedom,freedom,freedom,n
citizens,citizen,citizens,n
spring,spring,spring,n
awlaki,awlaki,awlaki,n
america,america,america,a
london,london,london,n
portray,portray,portray,a
silver,silver,silver,n
extremist,extremist,extremist,a
argue,argue,argue,n
united,united,united,a
states,state,states,n
fbi,fbi,fbi,a
public,public,public,a
prostitute,prostitute,prostitute,n
dossier,dossier,dossier,n
local,local,local,a
yemeni,yemeni,yemeni,n
authorities,authority,authorities,n
new,new,new,a
york,york,york,n
times,time,times,n
kept,kept,kept,n
behest,behest,behest,a
government,government,government,n
year,year,year,n
half,half,half,n
prison,prison,prison,n
yemen,yemen,yemen,n
release,release,release,n
fbi,fbi,fbi,a
agents,agent,agents,n
present,present,present,a
involved,involved,involved,a
interrogations,interrogation,interrogations,n
aware,aware,aware,a
see,see,see,n
america,america,america,a
invasion,invasion,invasion,n
countries,country,countries,n
abu,abu,abu,a
ghraib,ghraib,ghraib,n
bagram,bagram,bagram,n
guantanamo,guantanamo,guantanamo,n
bay,bay,bay,n
cruise,cruise,cruise,n
missiles,missile,missiles,n
bombs,bomb,bombs,n
yemen,yemen,yemen,n
death,death,death,n
twenty,twenty,twenty,n
children,child,children,n
seventeen,seventeen,seventeen,a
women,woman,women,n
words,word,words,n
scholar,scholar,scholar,n
awlaki,awlaki,awlaki,n
radicalization,radicalization,radicalization,n
consistent,consistent,consistent,a
historical,historical,historical,a
pattern,pattern,pattern,n
activists,activist,activists,n
belief,belief,belief,a
terrorism,terrorism,terrorism,n
political,political,political,a
action,action,action,n
bring,bring,bring,a
change,change,change,n
fit,fit,fit,n
pattern,pattern,pattern,a
islamist,islamist,islamist,n
muslim,muslim,muslim,n
activists,activist,activists,n
prison,prison,prison,n
intensive,intensive,intensive,a
torture,torture,torture,n
position,position,position,n
use,use,use,n
violence,violence,violence,n
civilians,civilian,civilians,n
torture,torture,torture,n
individuals,individual,individuals,n
capable,capable,capable,a
greater,greater,great,a
cruelty,cruelty,cruelty,n
thousands,thousand,thousands,n
muslims,muslim,muslims,n
online,online,online,n
sheikh,sheikh,sheikh,a
anwar,anwar,anwar,a
yemeni,yemeni,yemeni,n
prison,prison,prison,n
cell,cell,cell,n
demand,demand,demand,n
united,united,united,a
states,state,states,n
endured,endured,endured,a
time,time,time,n
prison,prison,prison,n
awlaki,awlaki,awlaki,a
inspire,inspire,inspire,a
high,high,high,a
profile,profile,profile,n
terror,terror,terror,n
president,president,president,n
obama,obama,obama,n
justified,justified,justified,a
drone,drone,drone,n
strike,strike,strike,n
first,first,first,a
assassination,assassination,assassination,n
citizen,citizen,citizen,n
trial,trial,trial,n
civil,civil,civil,a
war,war,war,n
tech,tech,tech,n
companies,company,companies,n
governments,government,governments,n
scrub,scrub,scrub,a
presence,presence,presence,n
internet,internet,internet,n
appeal,appeal,appeal,a
new,new,new,a
generation,generation,generation,n
muslims,muslim,muslims,n
question,question,question,n
wished,wished,wished,a
grapple,grapple,grapple,n
anwar,anwar,anwar,a
al,al,al,n
awlaki,awlaki,awlaki,n
source,source,source,n
militancy,militancy,militancy,n
voice,voice,voice,n
biography,biography,biography,n
complex,complex,complex,a
deeply,deeply,deeply,n
human,human,human,a
articulation,articulation,articulation,n
capable,capable,capable,a
true,true,true,a
anwar,anwar,anwar,a
al,al,al,n
everything,everything,everything,n
terrible,terrible,terrible,a
decision,decision,decision,n
syria,syria,syria,a
join,join,join,n
islamic,islamic,islamic,a
state,state,state,n
ways,way,ways,n
idea,idea,idea,n
adventure,adventure,adventure,n
dutiful,dutiful,dutiful,a
wife,wife,wife,n
husband,husband,husband,n
wishes,wish,wishes,n
place,place,place,n
ground,ground,ground,n
arabic,arabic,arabic,a
pop,pop,pop,n
stars,star,stars,n
gun,gun,gun,a
foray,foray,foray,a
fight,fight,fight,n
dictator,dictator,dictator,n
people,people,people,n
single,single,single,a
mother,mother,mother,n
authority,authority,authority,n
young,young,young,a
son,son,son,n
man,man,man,n
impossible,impossible,impossible,a
claim,claim,claim,n
neighborhood,neighborhood,neighborhood,n
drugs,drug,drugs,n
stabbings,stabbings,stabbings,n
obvious,obvious,obvious,a
path,path,path,n
poverty,poverty,poverty,n
young,young,young,a
people,people,people,n
involve,involve,involve,a
drug,drug,drug,n
petty,petty,petty,a
fraud,fraud,fraud,n
soheil,soheil,soheil,n
sabira,sabira,sabira,n
kind,kind,kind,n
education,education,education,n
skills,skill,skills,n
aspirations,aspiration,aspirations,n
brothers,brother,brothers,n
soheil,soheil,soheil,a
leaflet,leaflet,leaflet,n
local,local,local,a
cell,cell,cell,n
small,small,small,a
extremist,extremist,extremist,n
group,group,group,n
disruptive,disruptive,disruptive,a
loudmouths,loudmouth,loudmouths,n
largest,largest,large,a
local,local,local,a
mosque,mosque,mosque,n
lea,lea,lea,n
bridge,bridge,bridge,n
road,road,road,n
city,city,city,n
council,council,council,n
decisions,decision,decisions,n
councillors,councillor,councillors,n
political,political,political,a
influence,influence,influence,n
families,family,families,n
networks,network,networks,n
patronage,patronage,patronage,n
rural,rural,rural,a
pakistani,pakistani,pakistani,n
villages,village,villages,n
london,london,london,a
neighborhood,neighborhood,neighborhood,n
mosque,mosque,mosque,n
building,building,building,n
community,community,community,n
center,center,center,n
community,community,community,n
youth,youth,youth,n
organization,organization,organization,n
active,active,active,a
change,change,change,n
foundation,foundation,foundation,n
years,year,years,n
received,received,received,a
government,government,government,n
counter,counter,counter,a
appeal,appeal,appeal,n
radicalism,radicalism,radicalism,n
area,area,area,n
young,young,young,a
people,people,people,n
hang,hang,hang,a
gaming,gaming,gaming,n
consoles,console,consoles,n
tables,table,tables,n
groups,group,groups,n
police,police,police,a
security,security,security,n
services,service,services,n
political,political,political,a
cause,cause,cause,n
educate,educate,educate,a
awaken,awaken,awaken,a
extreme,extreme,extreme,a
war,war,war,n
terror,terror,terror,n
muslims,muslim,muslims,n
spring,spring,spring,n
soheil,soheil,soheil,n
isis,isi,isis,n
propaganda,propaganda,propaganda,n
videos,video,videos,n
muslims,muslim,muslims,n
peace,peace,peace,n
west,west,west,n
land,land,land,n
disbelief,disbelief,disbelief,n
unwelcome,unwelcome,unwelcome,a
hasten,hasten,hasten,n
group,group,group,n
create,create,create,n
caliphate,caliphate,caliphate,n
muslims,muslim,muslims,n
islamic,islamic,islamic,a
laws,law,laws,n
newspapers,newspaper,newspapers,n
steady,steady,steady,a
stream,stream,stream,n
coverage,coverage,coverage,n
people,people,people,n
muslims,muslim,muslims,n
fifth,fifth,fifth,a
column,column,column,n
extremists,extremist,extremists,n
terrorist,terrorist,terrorist,a
sympathies,sympathy,sympathies,n
impose,impose,impose,a
sharia,sharia,sharia,n
law,law,law,n
sneak,sneak,sneak,n
halal,halal,halal,n
food,food,food,n
supermarkets,supermarket,supermarkets,n
daily,daily,daily,a
britain,britain,britain,n
popular,popular,popular,a
tabloids,tabloid,tabloids,n
family,family,family,n
home,home,home,n
walthamstow,walthamstow,walthamstow,n
column,column,column,n
britain,britain,britain,a
border,border,border,a
security,security,security,n
mickey,mickey,mickey,n
mouse,mouse,mouse,n
operation,operation,operation,n
blame,blame,blame,n
lot,lot,lot,n
travel,travel,travel,n
disneyland,disneyland,disneyland,n
mail,mail,mail,n
family,family,family,n
extremists,extremist,extremists,n
facebook,facebook,facebook,a
account,account,account,n
unrelated,unrelated,unrelated,a
academic,academic,academic,a
research,research,research,n
mainstream,mainstream,mainstream,a
media,medium,media,n
coverage,coverage,coverage,n
muslims,muslim,muslims,n
hate,hate,hate,a
crimes,crime,crimes,n
climate,climate,climate,n
extreme,extreme,extreme,a
hostility,hostility,hostility,n
report,report,report,n
ministry,ministry,ministry,n
defence,defence,defence,n
government,government,government,n
difficult,difficult,difficult,a
conduct,conduct,conduct,n
military,military,military,a
interventions,intervention,interventions,n
countries,country,countries,n
citizens,citizen,citizens,n
families,family,families,n
rare,rare,rare,a
acknowledgment,acknowledgment,acknowledgment,n
britain,britain,britain,n
pursue,pursue,pursue,n
strategic,strategic,strategic,a
policies,policy,policies,n
war,war,war,n
terror,terror,terror,n
israel,israel,israel,a
occupation,occupation,occupation,n
palestinian,palestinian,palestinian,a
land,land,land,n
troop,troop,troop,n
presence,presence,presence,n
afghanistan,afghanistan,afghanistan,a
lucrative,lucrative,lucrative,a
arms,arm,arms,n
sales,sale,sales,n
arabia,arabia,arabia,a
complicity,complicity,complicity,n
saudi,saudi,saudi,n
war,war,war,n
yemen,yemen,yemen,n
thousands,thousand,thousands,n
civilian,civilian,civilian,a
deaths,death,deaths,n
british,british,british,a
muslims,muslim,muslims,n
tabloids,tabloid,tabloids,n
ways,way,ways,n
portray,portray,portray,a
islam,islam,islam,a
religion,religion,religion,n
sexual,sexual,sexual,a
violence,violence,violence,n
marginal,marginal,marginal,a
characters,character,characters,n
world,world,world,n
figures,figure,figures,n
british,british,british,a
muslim,muslim,muslim,n
headlines,headline,headlines,n
islamic,islamic,islamic,a
scholar,scholar,scholar,n
allah,allah,allah,n
muslim,muslim,muslim,a
men,men,men,n
non,non,non,a
muslim,muslim,muslim,a
women,woman,women,n
egyptian,egyptian,egyptian,a
lawyer,lawyer,lawyer,n
women,woman,women,n
ripped,ripped,ripped,a
jeans,jean,jeans,n
man,man,man,n
national,national,national,a
duty,duty,duty,n
british,british,british,a
press,press,press,n
last,last,last,a
europe,europe,europe,n
poll,poll,poll,n
european,european,european,a
broadcasting,broadcasting,broadcasting,n
union,union,union,n
truthful,truthful,truthful,a
citizens,citizen,citizens,n
media,medium,media,n
conversations,conversation,conversations,n
glide,glide,glide,a
way,way,way,n
racism,racism,racism,n
united,united,united,a
kingdom,kingdom,kingdom,n
crude,crude,crude,n
prejudice,prejudice,prejudice,n
anyone,anyone,anyone,n
brown,brown,brown,a
generic,generic,generic,a
paki,paki,paki,n
discrimination,discrimination,discrimination,n
muslim,muslim,muslim,n
people,people,people,n
ordinary,ordinary,ordinary,a
grimy,grimy,grimy,a
northeast,northeast,northeast,a
london,london,london,a
village,village,village,n
suburb,suburb,suburb,n
everything,everything,everything,n
british,british,british,a
authorities,authority,authorities,n
threat,threat,threat,n
radicalism,radicalism,radicalism,n
slap,slap,slap,a
sharia,sharia,sharia,n
zone,zone,zone,n
stickers,sticker,stickers,n
east,east,east,a
london,london,london,a
morality,morality,morality,n
street,street,street,n
patrols,patrol,patrols,n
fact,fact,fact,n
small,small,small,a
band,band,band,n
followers,follower,followers,n
certain,certain,certain,a
underlying,underlying,underlying,a
truths,truth,truths,n
easy,easy,easy,a
empathize,empathize,empathize,a
belief,belief,belief,n
west,west,west,a
war,war,war,n
terror,terror,terror,n
neo,neo,neo,a
imperial,imperial,imperial,a
wars,war,wars,n
majority,majority,majority,n
muslim,muslim,muslim,n
year,year,year,n
war,war,war,n
geographic,geographic,geographic,a
scope,scope,scope,n
brutality,brutality,brutality,n
secret,secret,secret,a
torture,torture,torture,n
drone,drone,drone,a
strikes,strike,strikes,n
civilians,civilian,civilians,n
extreme,extreme,extreme,a
support,support,support,n
israel,israel,israel,n
arab,arab,arab,n
tyrants,tyrant,tyrants,n
muslim,muslim,muslim,a
underdevelopment,underdevelopment,underdevelopment,a
vast,vast,vast,a
scale,scale,scale,a
tabloids,tabloid,tabloids,n
sharia,sharia,sharia,n
prominent,prominent,prominent,a
neocon,neocon,neocon,n
thinker,thinker,thinker,n
strange,strange,strange,a
death,death,death,n
europe,europe,europe,n
walter,walter,walter,n
benjamin,benjamin,benjamin,n
state,state,state,n
emergency,emergency,emergency,n
become,become,become,n
oppressed,oppressed,oppressed,a
exception,exception,exception,n
rule,rule,rule,n
british,british,british,a
muslims,muslim,muslims,n
life,life,life,n
political,political,political,a
views,view,views,n
tensions,tension,tensions,n
muslims,muslim,muslims,n
western,western,western,a
state,state,state,n
violence,violence,violence,n
neighborhood,neighborhood,neighborhood,a
awash,awash,awash,n
drugs,drug,drugs,n
crime,crime,crime,n
soheil,soheil,soheil,n
boys,boy,boys,n
certain,certain,certain,a
barbershops,barbershop,barbershops,n
hubs,hub,hubs,a
drug,drug,drug,n
barbers,barber,barbers,n
eyes,eye,eyes,n
drugs,drug,drugs,n
fast,fast,fast,a
way,way,way,n
rise,rise,rise,n
standings,standing,standings,n
neighborhood,neighborhood,neighborhood,n
muslim,muslim,muslim,n
kids,kid,kids,n
route,route,route,n
guilty,guilty,guilty,a
consciences,conscience,consciences,n
mosque,mosque,mosque,n
porsches,porsches,porsches,n
imam,imam,imam,a
wads,wad,wads,n
cash,cash,cash,n
charity,charity,charity,n
survey,survey,survey,n
applicant,applicant,applicant,n
adam,adam,adam,n
times,time,times,n
job,job,job,n
interviews,interview,interviews,n
applicant,applicant,applicant,a
identical,identical,identical,a
skill,skill,skill,n
mohammed,mohammed,mohammed,a
half,half,half,n
muslim,muslim,muslim,n
households,household,households,n
lived,lived,lived,a
poverty,poverty,poverty,n
police,police,police,n
night,night,night,n
days,day,days,n
officers,officer,officers,n
man,man,man,n
fat,fat,fat,a
upper,upper,upper,a
lip,lip,lip,n
woman,woman,woman,n
living,living,living,n
room,room,room,n
need,need,need,a
search,search,search,n
house,house,house,n
hardest,hardest,hard,a
part,part,part,n
first,first,first,a
rest,rest,rest,a
family,family,family,n
question,question,question,n
early,early,early,a
days,day,days,n
syrian,syrian,syrian,a
civil,civil,civil,a
war,war,war,n
clearer,clearer,clear,a
conflict,conflict,conflict,n
good,good,good,a
bad,bad,bad,a
sides,side,sides,n
version,version,version,n
islam,islam,islam,n
ladies,lady,ladies,n
meetings,meeting,meetings,n
death,death,death,n
sentence,sentence,sentence,n
sabira,sabira,sabira,n
cousin,cousin,cousin,n
evening,evening,evening,n
bethnal,bethnal,bethnal,a
green,green,green,a
dessert,dessert,dessert,a
look,look,look,n
abayas,abaya,abayas,a
local,local,local,a
boutique,boutique,boutique,n
lowkey,lowkey,lowkey,a
british,british,british,a
rapper,rapper,rapper,n
dennis,dennis,dennis,a
terrorist,terrorist,terrorist,a
sharmeena,sharmeena,sharmeena,n
kadiza,kadiza,kadiza,n
amira,amira,amira,n
shamima,shamima,shamima,a
december,december,december,n
east,east,east,a
london,london,london,n
truth,truth,truth,n
young,young,young,a
women,woman,women,n
britain,britain,britain,n
islamic,islamic,islamic,a
state,state,state,n
strange,strange,strange,a
winter,winter,winter,n
girls,girl,girls,n
westfield,westfield,westfield,n
stratford,stratford,stratford,n
mall,mall,mall,n
east,east,east,a
london,london,london,n
favorite,favorite,favorite,a
final,final,final,a
destination,destination,destination,n
journey,journey,journey,n
straight,straight,straight,a
school,school,school,n
bethnal,bethnal,bethnal,a
green,green,green,a
academy,academy,academy,n
studies,study,studies,n
teachers,teacher,teachers,n
fellow,fellow,fellow,a
students,student,students,n
examples,example,examples,n
fine,fine,fine,a
young,young,young,a
women,woman,women,n
intelligent,intelligent,intelligent,a
joyful,joyful,joyful,a
vivacious,vivacious,vivacious,a
girls,girl,girls,n
past,past,past,a
trendy,trendy,trendy,n
steak,steak,steak,n
place,place,place,n
halal,halal,halal,n
menu,menu,menu,n
past,past,past,a
champagne,champagne,champagne,n
bar,bar,bar,n
bag,bag,bag,n
laden,laden,laden,a
women,woman,women,n
refuge,refuge,refuge,n
past,past,past,a
advertisement,advertisement,advertisement,n
film,film,film,n
american,american,american,a
sniper,sniper,sniper,n
lethal,lethal,lethal,a
sniper,sniper,sniper,a
military,military,military,a
history,history,history,n
sharmeena,sharmeena,sharmeena,n
new,new,new,a
mobile,mobile,mobile,a
phone,phone,phone,n
winter,winter,winter,n
clothes,clothes,clothes,n
syria,syria,syria,n
clothes,clothes,clothes,n
online,online,online,a
next,next,next,a
day,day,day,n
happen,happen,happen,a
mother,mother,mother,n
young,young,young,a
woman,woman,woman,n
thirties,thirty,thirties,n
radiant,radiant,radiant,a
speed,speed,speed,n
decay,decay,decay,n
separate,separate,separate,a
building,building,building,n
women,woman,women,n
spacious,spacious,spacious,a
lit,lit,lit,a
warm,warm,warm,a
prayer,prayer,prayer,n
area,area,area,n
second,second,second,a
floor,floor,floor,n
prayer,prayer,prayer,n
sharmeena,sharmeena,sharmeena,n
linger,linger,linger,n
mosque,mosque,mosque,n
book,book,book,n
return,return,return,n
home,home,home,n
mother,mother,mother,n
absence,absence,absence,n
space,space,space,n
roads,road,roads,n
entrance,entrance,entrance,n
mosque,mosque,mosque,n
sharmeena,sharmeena,sharmeena,n
apartment,apartment,apartment,n
high,high,high,a
factory,factory,factory,n
conversions,conversion,conversions,n
former,former,former,a
garment,garment,garment,n
district,district,district,n
attractive,attractive,attractive,a
young,young,young,a
professionals,professional,professionals,n
holiest,holiest,holy,a
site,site,site,n
islam,islam,islam,a
city,city,city,n
modern,modern,modern,a
day,day,day,n
prophet,prophet,prophet,a
muhammad,muhammad,muhammad,n
first,first,first,a
quranic,quranic,quranic,a
revelation,revelation,revelation,n
pillars,pillar,pillars,n
faith,faith,faith,a
journey,journey,journey,n
muslims,muslim,muslims,n
kaaba,kaaba,kaaba,n
plains,plain,plains,n
prophet,prophet,prophet,a
muhammad,muhammad,muhammad,a
peace,peace,peace,n
walked,walked,walked,a
sharmeena,sharmeena,sharmeena,n
openly,openly,openly,a
strangers,stranger,strangers,n
talked,talked,talked,a
world,world,world,n
stark,stark,stark,n
finite,finite,finite,n
terms,term,terms,n
kuffar,kuffar,kuffar,n
unbelievers,unbeliever,unbelievers,n
global,global,global,a
struggle,struggle,struggle,n
muslim,muslim,muslim,n
places,place,places,n
palestine,palestine,palestine,n
syria,syria,syria,n
urgency,urgency,urgency,n
real,real,real,a
islamic,islamic,islamic,a
state,state,state,n
islamic,islamic,islamic,a
state,state,state,n
syria,syria,syria,n
practice,practice,practice,n
islam,islam,islam,n
harassment,harassment,harassment,n
live,live,live,a
life,life,life,n
deep,deep,deep,a
spiritual,spiritual,spiritual,a
meaning,meaning,meaning,n
sharmeena,sharmeena,sharmeena,n
circulated,circulated,circulated,a
online,online,online,n
muhajirat,muhajirat,muhajirat,a
female,female,female,a
migrants,migrant,migrants,n
journey,journey,journey,n
clear,clear,clear,a
serious,serious,serious,a
faith,faith,faith,n
commitment,commitment,commitment,n
state,state,state,n
choice,choice,choice,n
sharmeena,sharmeena,sharmeena,n
outfit,outfit,outfit,a
lookbooks,lookbooks,lookbooks,n
phone,phone,phone,n
wanted,wanted,wanted,a
fashion,fashion,fashion,n
designer,designer,designer,n
relief,relief,relief,n
father,father,father,a
say,say,say,n
baba,baba,baba,n
doctor,doctor,doctor,n
pensive,pensive,pensive,a
withdrawn,withdrawn,withdrawn,n
death,death,death,n
person,person,person,n
thought,thought,thought,a
thing,thing,thing,n
used,used,used,a
term,term,term,n
forbidden,forbidden,forbidden,a
concerns,concern,concerns,n
ideological,ideological,ideological,a
health,health,health,n
poor,poor,poor,a
diabetes,diabetes,diabetes,n
high,high,high,a
cholesterol,cholesterol,cholesterol,n
long,long,long,a
hours,hour,hours,n
feet,foot,feet,n
plates,plate,plates,n
hot,hot,hot,a
kitchen,kitchen,kitchen,a
december,december,december,n
syrian,syrian,syrian,a
civil,civil,civil,a
war,war,war,n
years,year,years,n
syrians,syrian,syrians,n
bashar,bashar,bashar,a
al,al,al,a
assad,assad,assad,n
heady,heady,heady,a
early,early,early,a
days,day,days,n
new,new,new,a
women,woman,women,n
horrific,horrific,horrific,a
deaths,death,deaths,n
muslims,muslim,muslims,n
urgency,urgency,urgency,a
building,building,building,n
caliphate,caliphate,caliphate,n
self,self,self,a
defense,defense,defense,n
violence,violence,violence,n
depredations,depredation,depredations,n
muslims,muslim,muslims,n
regular,regular,regular,a
posts,post,posts,n
left,left,left,a
family,family,family,n
scotland,scotland,scotland,n
join,join,join,n
islamic,islamic,islamic,a
state,state,state,n
struggle,struggle,struggle,n
young,young,young,a
women,woman,women,n
umm,umm,umm,a
layth,layth,layth,a
tone,tone,tone,n
reductive,reductive,reductive,a
stridency,stridency,stridency,n
teenager,teenager,teenager,n
injustice,injustice,injustice,a
plaintive,plaintive,plaintive,a
voice,voice,voice,n
vulnerable,vulnerable,vulnerable,a
child,child,child,n
home,home,home,n
umm,umm,umm,a
clips,clip,clips,n
speech,speech,speech,a
prysner,prysner,prysner,n
women,woman,women,n
children,child,children,n
arms,arm,arms,n
homes,home,homes,n
american,american,american,a
military,military,military,n
compensation,compensation,compensation,n
violent,violent,violent,a
interrogations,interrogation,interrogations,n
bags,bag,bags,n
detainees,detainee,detainees,n
heads,head,heads,n
former,former,former,a
american,american,american,a
soldier,soldier,soldier,n
terrorists,terrorist,terrorists,n
real,real,real,a
terrorist,terrorist,terrorist,a
real,real,real,a
terrorism,terrorism,terrorism,n
occupation,occupation,occupation,n
american,american,american,a
yemeni,yemeni,yemeni,n
imam,imam,imam,a
anwar,anwar,anwar,a
al,al,al,n
awlaki,awlaki,awlaki,n
state,state,state,n
military,military,military,a
violence,violence,violence,n
civilians,civilian,civilians,n
sharmeena,sharmeena,sharmeena,a
women,woman,women,n
umm,umm,umm,a
layth,layth,layth,n
various,various,various,a
social,social,social,a
media,medium,media,n
platforms,platform,platforms,n
feeds,feed,feeds,n
loud,loud,loud,a
crescendo,crescendo,crescendo,n
outrage,outrage,outrage,n
muslim,muslim,muslim,a
deaths,death,deaths,n
palestinians,palestinian,palestinians,n
israel,israel,israel,a
drone,drone,drone,n
strikes,strike,strikes,n
weddings,wedding,weddings,n
drone,drone,drone,n
strikes,strike,strikes,n
civilians,civilian,civilians,n
somalia,somalia,somalia,a
children,child,children,n
assad,assad,assad,a
barrel,barrel,barrel,n
bombs,bomb,bombs,n
religious,religious,religious,a
good,good,good,a
muslims,muslim,muslims,n
behavior,behavior,behavior,a
impure,impure,impure,n
faith,faith,faith,n
political,political,political,a
fury,fury,fury,n
west,west,west,a
desire,desire,desire,n
spiritual,spiritual,spiritual,a
awakening,awakening,awakening,n
couple,couple,couple,a
desert,desert,desert,n
handsome,handsome,handsome,n
young,young,young,a
man,man,man,n
wife,wife,wife,n
full,full,full,a
face,face,face,n
veil,veil,veil,n
heart,heart,heart,n
caption,caption,caption,n
love,love,love,n
till,till,till,a
martyrdom,martyrdom,martyrdom,n
part,part,part,n
time,time,time,n
person,person,person,n
umm,umm,umm,a
irhab,irhab,irhab,n
twitter,twitter,twitter,n
women,woman,women,n
commitment,commitment,commitment,n
driven,driven,driven,a
sexual,sexual,sexual,a
frustration,frustration,frustration,n
base,base,base,n
desire,desire,desire,n
sister,sister,sister,n
sham,sham,sham,n
romantic,romantic,romantic,a
thought,thought,thought,n
abt,abt,abt,n
war,war,war,n
bcos,bcos,bcos,n
man,man,man,n
bcos,bcos,bcos,a
anonymous,anonymous,anonymous,a
question,question,question,n
website,website,website,a
ask,ask,ask,n
welcome,welcome,welcome,a
platform,platform,platform,n
share,share,share,n
views,view,views,n
umm,umm,umm,a
ubaydah,ubaydah,ubaydah,a
instance,instance,instance,n
question,question,question,n
anonymous,anonymous,anonymous,a
know,know,know,a
vast,vast,vast,a
majority,majority,majority,n
americans,american,americans,n
muslims,muslim,muslims,n
apologize,apologize,apologize,a
people,people,people,n
terrible,terrible,terrible,a
things,thing,things,n
families,family,families,n
husbands,husband,husbands,n
build,build,build,a
islamic,islamic,islamic,a
state,state,state,n
lives,life,lives,n
abides,abides,abides,n
law,law,law,n
allah,allah,allah,n
ideological,ideological,ideological,a
worldview,worldview,worldview,n
notion,notion,notion,n
hijra,hijra,hijra,n
islamic,islamic,islamic,a
state,state,state,n
caliphate,caliphate,caliphate,n
migration,migration,migration,n
innocent,innocent,innocent,a
neutral,neutral,neutral,a
transfer,transfer,transfer,n
location,location,location,n
old,old,old,a
accountable,accountable,accountable,a
muhajirat,muhajirat,muhajirat,n
arab,arab,arab,a
adhered,adhered,adhered,a
strands,strand,strands,n
extreme,extreme,extreme,a
salafi,salafi,salafi,a
supported,supported,supported,a
jihadist,jihadist,jihadist,n
solution,solution,solution,n
societies,society,societies,n
governments,government,governments,n
subservience,subservience,subservience,n
western,western,western,a
state,state,state,n
order,order,order,n
less,le,less,a
random,random,random,a
choice,choice,choice,n
positions,position,positions,n
political,political,political,a
landscape,landscape,landscape,n
little,little,little,a
group,group,group,n
unknown,unknown,unknown,a
face,face,face,n
circumstances,circumstance,circumstances,n
extreme,extreme,extreme,a
argument,argument,argument,n
response,response,response,n
brutality,brutality,brutality,n
desirable,desirable,desirable,a
west,west,west,n
militants,militant,militants,n
choice,choice,choice,n
way,way,way,n
resist,resist,resist,a
nonviolent,nonviolent,nonviolent,a
protest,protest,protest,n
sway,sway,sway,n
dictator,dictator,dictator,n
assad,assad,assad,n
military,military,military,a
torturing,torturing,torturing,n
scores,score,scores,n
detention,detention,detention,n
centers,center,centers,n
united,united,united,a
states,state,states,n
occupied,occupied,occupied,a
iraq,iraq,iraq,n
